Fire Year,Predicted Smoke Estimates,Lower Estimate Bound,Upper Estimate Bound,Calculated Smoke Estimates
1963,0.9663319315252465,-14.142002504560915,16.074666367611407,2.1233183776318434
1964,1.922170311804166,-12.79385479625951,16.63819541986784,7.581578432913036
1965,2.878008692082858,-11.449548358783066,17.20556574294878,2.3182736838305678
1966,3.8338470723617775,-10.109404256743604,17.777098401467157,9.220398483947932
1967,4.7896854526404695,-8.77377630030092,18.35314720558186,9.041262754028033
1968,5.745523832919389,-7.44305464758914,18.934102313427918,8.405210736792734
1969,6.701362213198308,-6.117669749695192,19.52039417609181,3.905857000381071
1970,7.657200593477,-4.798096637458983,20.112497824412984,27.210593578237493
1971,8.61303897375592,-3.4848595326939407,20.71093748020578,5.543999886616716
1972,9.568877354034612,-2.1785367422627377,21.31629145033196,5.892115615225475
1973,10.524715734313531,-0.8797657595349921,21.929197228162053,10.040597509276624
1974,11.48055411459245,0.41075154845311523,22.550356680731788,7.296172751082525
1975,12.436392494871143,1.6922438511115843,23.1805411386307,11.195639686444116
1976,13.392230875150062,2.9638656235289087,23.820596126771214,6.5799433116938815
1977,14.348069255428754,4.224693134817484,24.471445376040023,9.379400758285051
1978,15.303907635707674,5.47372163270502,25.134093638710326,4.047136786921286
1979,16.259746015986593,6.709864333786555,25.80962769818663,16.80687376153522
1980,17.215584396265285,7.931953966819368,26.499214825711203,21.21798250856756
1981,18.171422776544205,9.138747742360124,27.204097810728285,67.95433786505055
1982,19.127261156822897,10.328936707705648,27.925585605940146,19.10959717298221
1983,20.083099537101816,11.501160451625845,28.66503862257779,10.964044697408571
1984,21.03893791738051,12.654027999091003,29.423847835670013,16.247834109758234
1985,21.994776297659428,13.786145429788519,30.203407165530336,25.11201516407969
1986,22.950614677938347,14.896150224716129,31.005079131160564,16.580361202192766
1987,23.90645305821704,15.982751584309703,31.830154532124375,26.01750575182277
1988,24.86229143849596,17.04477501810348,32.67980785888844,26.39679241125109
1989,25.81812981877465,18.081208503759573,33.55505113378973,7.979667573358571
1990,26.77396819905357,19.091246649857148,34.45668974824999,8.25774865297898
1991,27.72980657933249,20.074328809371735,35.385284349293244,2.565897907816388
1992,28.68564495961118,21.030167189650427,36.341122729571936,7.697517019765439
1993,29.6414833398901,21.95876179069368,37.32420488908652,16.85073786988386
1994,30.597321720168793,22.860400405153715,38.334243035183874,30.17199301690461
1995,31.553160100447712,23.735643680055233,39.37067652084019,17.858755962268976
1996,32.508998480726405,24.58529700681907,40.43269995463374,43.45997127297716
1997,33.464836861005324,25.410372407783107,41.51930131422754,9.696500384859217
1998,34.42067524128424,26.212044373413335,42.62930610915515,9.88505153642101
1999,35.376513621562935,26.99160370327343,43.761423539852444,43.05234995754957
2000,36.332352001841855,27.75041291636588,44.91429108731783,56.86863020279515
