OBJECTID,shortest_dist
100001,1250.85
100002,2235.75
100003,2053.59
100004,1624.97
100005,1282.18
100006,1683.0
100007,1965.38
100008,1329.0
100009,1881.16
100010,1548.42
100011,2151.34
100012,1734.34
100013,1328.6
100014,1731.22
100015,1464.4
100016,1752.54
100017,2122.7
100018,1311.04
100019,1719.78
100020,1331.49
100021,2105.18
100022,1462.3
100023,1252.82
100024,1887.12
100025,1268.32
100026,1847.79
100027,1197.81
100028,1371.42
100029,2007.26
100030,2119.3
100031,1323.74
100032,1972.61
100033,1209.43
100034,1242.19
100035,1319.52
100036,1128.5
100037,1855.81
100038,1102.39
100039,1968.14
100040,1130.15
100041,2063.38
100042,1147.57
100043,1164.21
100044,2172.44
100045,2096.28
100046,632.14
100047,1076.95
100048,2112.4
100049,2154.39
100050,1110.37
100051,1077.99
100052,981.14
100053,1116.34
100054,2167.41
100055,2194.61
100056,1799.05
100057,2188.4
100058,1979.14
100059,410.38
100060,454.94
100061,1846.98
100062,1137.3
100063,1107.15
100064,839.53
100065,603.38
100066,517.15
100067,403.75
100068,2066.6
100069,2113.55
100070,2112.67
100071,1834.83
100072,2127.11
100073,619.8
100074,1795.78
100075,2196.74
100076,1058.36
100077,1170.07
100078,480.54
100079,1861.81
100080,651.59
100081,2114.62
100082,2122.3
100083,2103.78
100084,184.17
100085,2110.58
100086,799.49
100087,2132.36
100088,379.95
100089,399.32
100090,1354.67
100091,2005.19
100092,2100.65
100093,1378.18
100094,2068.15
100095,457.12
100096,1789.05
100097,972.18
100098,939.78
100099,2027.81
100100,1170.88
100101,2210.81
100102,1121.29
100103,1998.92
100104,1799.01
100105,1346.78
100106,2125.99
100107,1792.72
100108,784.02
100109,2124.39
100110,2023.27
100111,1110.16
100112,1340.78
100113,1343.94
100114,2121.21
100115,1329.91
100116,448.06
100117,2126.66
100118,824.97
100119,1110.1
100120,1975.44
100121,1284.1
100122,2134.08
100123,2153.88
100124,1197.8
100125,2010.6
100126,2192.91
100127,803.42
100128,1326.28
100129,2119.31
100130,1312.26
100131,1359.12
100132,1795.35
100133,2132.01
100134,1680.07
100135,2194.57
100136,286.13
100137,981.53
100138,1690.0
100139,502.38
100140,2187.56
100141,2019.42
100142,978.9
100143,2096.88
100144,510.46
100145,696.7
100146,2216.85
100147,2098.11
100148,2114.0
100149,486.28
100150,1653.84
100151,413.99
100152,496.4
100153,861.76
100154,2125.67
100155,2041.7
100156,513.45
100157,1961.77
100158,1843.93
100159,477.05
100160,1324.72
100161,2118.57
100162,1360.19
100163,2095.08
100164,1463.19
100165,2127.3
100166,2113.59
100167,2184.91
100168,2126.56
100169,2115.88
100170,2117.61
100171,2112.59
100172,2107.55
100173,2113.28
100174,2089.84
100175,2036.5
100176,1564.95
100177,2098.81
100178,2117.48
100179,1366.9
100180,1837.93
100181,429.29
100182,1964.61
100183,1791.58
100184,1828.23
100185,2255.11
100186,2233.13
100187,2008.95
100188,2105.07
100189,1839.89
100190,1678.15
100191,2061.63
100192,413.04
100193,824.95
100194,2072.81
100195,2007.12
100196,1699.17
100197,1410.2
100198,2110.63
100199,1376.93
100200,934.94
100201,2170.65
100202,2011.64
100203,2137.07
100204,2130.75
100205,2218.53
100206,1835.68
100207,2261.62
100208,1253.92
100209,1730.51
100210,2105.51
100211,2094.45
100212,1239.97
100213,2116.69
100214,2086.15
100215,1489.01
100216,2136.4
100217,2005.85
100218,1245.39
100219,496.45
100220,2011.55
100221,2136.17
100222,1096.55
100223,2131.08
100224,2227.72
100225,2149.35
100226,1839.12
100227,1845.15
100228,2263.81
100229,1957.48
100230,2068.27
100231,2195.59
100232,2111.01
100233,1890.53
100234,1879.82
100235,1679.87
100236,1845.21
100237,2009.41
100238,2216.55
100239,2112.26
100240,1998.27
100241,2012.16
100242,2123.47
100243,2074.34
100244,2102.39
100245,2103.68
100246,2131.67
100247,2196.5
100248,2065.99
100249,2126.52
100250,2111.05
100251,2213.78
100252,2220.55
100253,2008.26
100254,2070.72
100255,1981.74
100256,2102.65
100257,2213.22
100258,1684.35
100259,2072.1
100260,1731.17
100261,2216.91
100262,2036.38
100263,2108.2
100264,2118.21
100265,1619.11
100266,2175.59
100267,2089.51
100268,2128.4
100269,2178.79
100270,1375.07
100271,1881.92
100272,2181.09
100273,2099.94
