site_number,parameter_code,sample_duration,date_local,aqi
0010,81102,24-HR BLK AVG,2004-05-01,32
0010,81102,24-HR BLK AVG,2004-05-02,28
0010,81102,24-HR BLK AVG,2004-05-03,40
0010,81102,24-HR BLK AVG,2004-05-04,49
0010,81102,24-HR BLK AVG,2004-05-05,52
0010,81102,24-HR BLK AVG,2004-05-06,35
0010,81102,24-HR BLK AVG,2004-05-07,38
0010,81102,24-HR BLK AVG,2004-05-08,52
0010,81102,24-HR BLK AVG,2004-05-09,31
0010,81102,24-HR BLK AVG,2004-05-10,149
0010,81102,24-HR BLK AVG,2004-05-10,149
0010,81102,24-HR BLK AVG,2004-05-10,149
0010,81102,24-HR BLK AVG,2004-05-11,84
0010,81102,24-HR BLK AVG,2004-05-12,44
0010,81102,24-HR BLK AVG,2004-05-13,27
0010,81102,24-HR BLK AVG,2004-05-14,35
0010,81102,24-HR BLK AVG,2004-05-15,41
0010,81102,24-HR BLK AVG,2004-05-16,30
0010,81102,24-HR BLK AVG,2004-05-17,55
0010,81102,24-HR BLK AVG,2004-05-18,62
0010,81102,24-HR BLK AVG,2004-05-19,38
0010,81102,24-HR BLK AVG,2004-05-20,33
0010,81102,24-HR BLK AVG,2004-05-21,31
0010,81102,24-HR BLK AVG,2004-05-22,31
0010,81102,24-HR BLK AVG,2004-05-23,51
0010,81102,24-HR BLK AVG,2004-05-24,28
0010,81102,24-HR BLK AVG,2004-05-25,30
0010,81102,24-HR BLK AVG,2004-05-26,37
0010,81102,24-HR BLK AVG,2004-05-27,33
0010,81102,24-HR BLK AVG,2004-05-28,71
0010,81102,24-HR BLK AVG,2004-05-29,52
0010,81102,24-HR BLK AVG,2004-05-30,15
0010,81102,24-HR BLK AVG,2004-05-31,24
0010,81102,24-HR BLK AVG,2004-06-01,33
0010,81102,24-HR BLK AVG,2004-06-02,37
0010,81102,24-HR BLK AVG,2004-06-03,42
0010,81102,24-HR BLK AVG,2004-06-04,38
0010,81102,24-HR BLK AVG,2004-06-05,48
0010,81102,24-HR BLK AVG,2004-06-06,39
0010,81102,24-HR BLK AVG,2004-06-07,72
0010,81102,24-HR BLK AVG,2004-06-08,88
0010,81102,24-HR BLK AVG,2004-06-09,54
0010,81102,24-HR BLK AVG,2004-06-10,30
0010,81102,24-HR BLK AVG,2004-06-11,40
0010,81102,24-HR BLK AVG,2004-06-12,39
0010,81102,24-HR BLK AVG,2004-06-13,30
0010,81102,24-HR BLK AVG,2004-06-14,42
0010,81102,24-HR BLK AVG,2004-06-15,85
0010,81102,24-HR BLK AVG,2004-06-16,53
0010,81102,24-HR BLK AVG,2004-06-17,49
0010,81102,24-HR BLK AVG,2004-06-18,37
0010,81102,24-HR BLK AVG,2004-06-19,68
0010,81102,24-HR BLK AVG,2004-06-20,31
0010,81102,24-HR BLK AVG,2004-06-21,39
0010,81102,24-HR BLK AVG,2004-06-22,39
0010,81102,24-HR BLK AVG,2004-06-23,41
0010,81102,24-HR BLK AVG,2004-06-24,49
0010,81102,24-HR BLK AVG,2004-06-25,40
0010,81102,24-HR BLK AVG,2004-06-26,34
0010,81102,24-HR BLK AVG,2004-06-27,39
0010,81102,24-HR BLK AVG,2004-06-28,49
0010,81102,24-HR BLK AVG,2004-06-29,42
0010,81102,24-HR BLK AVG,2004-06-30,45
0010,81102,24-HR BLK AVG,2004-07-01,32
0010,81102,24-HR BLK AVG,2004-07-02,37
0010,81102,24-HR BLK AVG,2004-07-03,45
0010,81102,24-HR BLK AVG,2004-07-04,63
0010,81102,24-HR BLK AVG,2004-07-05,32
0010,81102,24-HR BLK AVG,2004-07-06,52
0010,81102,24-HR BLK AVG,2004-07-07,48
0010,81102,24-HR BLK AVG,2004-07-08,52
0010,81102,24-HR BLK AVG,2004-07-09,52
0010,81102,24-HR BLK AVG,2004-07-10,44
0010,81102,24-HR BLK AVG,2004-07-11,36
0010,81102,24-HR BLK AVG,2004-07-12,40
0010,81102,24-HR BLK AVG,2004-07-13,46
0010,81102,24-HR BLK AVG,2004-07-15,39
0010,81102,24-HR BLK AVG,2004-07-16,53
0010,81102,24-HR BLK AVG,2004-07-17,63
0010,81102,24-HR BLK AVG,2004-07-18,36
0010,81102,24-HR BLK AVG,2004-07-19,43
0010,81102,24-HR BLK AVG,2004-07-20,33
0010,81102,24-HR BLK AVG,2004-07-21,40
0010,81102,24-HR BLK AVG,2004-07-22,32
0010,81102,24-HR BLK AVG,2004-07-23,39
0010,81102,24-HR BLK AVG,2004-07-24,26
0010,81102,24-HR BLK AVG,2004-07-25,30
0010,81102,24-HR BLK AVG,2004-07-26,34
0010,81102,24-HR BLK AVG,2004-07-27,33
0010,81102,24-HR BLK AVG,2004-07-28,43
0010,81102,24-HR BLK AVG,2004-07-29,40
0010,81102,24-HR BLK AVG,2004-07-30,43
0010,81102,24-HR BLK AVG,2004-07-31,59
0010,81102,24-HR BLK AVG,2004-08-01,70
0010,81102,24-HR BLK AVG,2004-08-02,33
0010,81102,24-HR BLK AVG,2004-08-03,25
0010,81102,24-HR BLK AVG,2004-08-04,38
0010,81102,24-HR BLK AVG,2004-08-05,37
0010,81102,24-HR BLK AVG,2004-08-06,51
0010,81102,24-HR BLK AVG,2004-08-07,47
0010,81102,24-HR BLK AVG,2004-08-08,28
0010,81102,24-HR BLK AVG,2004-08-09,38
0010,81102,24-HR BLK AVG,2004-08-10,36
0010,81102,24-HR BLK AVG,2004-08-11,40
0010,81102,24-HR BLK AVG,2004-08-12,62
0010,81102,24-HR BLK AVG,2004-08-13,41
0010,81102,24-HR BLK AVG,2004-08-14,38
0010,81102,24-HR BLK AVG,2004-08-15,42
0010,81102,24-HR BLK AVG,2004-08-16,26
0010,81102,24-HR BLK AVG,2004-08-17,31
0010,81102,24-HR BLK AVG,2004-08-18,44
0010,81102,24-HR BLK AVG,2004-08-19,41
0010,81102,24-HR BLK AVG,2004-08-20,48
0010,81102,24-HR BLK AVG,2004-08-21,38
0010,81102,24-HR BLK AVG,2004-08-22,31
0010,81102,24-HR BLK AVG,2004-08-23,41
0010,81102,24-HR BLK AVG,2004-08-24,29
0010,81102,24-HR BLK AVG,2004-08-25,33
0010,81102,24-HR BLK AVG,2004-08-26,34
0010,81102,24-HR BLK AVG,2004-08-27,50
0010,81102,24-HR BLK AVG,2004-08-28,31
0010,81102,24-HR BLK AVG,2004-08-29,25
0010,81102,24-HR BLK AVG,2004-08-30,47
0010,81102,24-HR BLK AVG,2004-08-31,49
0010,81102,24-HR BLK AVG,2004-09-01,36
0010,81102,24-HR BLK AVG,2004-09-02,77
0010,81102,24-HR BLK AVG,2004-09-05,23
0010,81102,24-HR BLK AVG,2004-09-06,23
0010,81102,24-HR BLK AVG,2004-09-07,35
0010,81102,24-HR BLK AVG,2004-09-08,52
0010,81102,24-HR BLK AVG,2004-09-09,79
0010,81102,24-HR BLK AVG,2004-09-10,31
0010,81102,24-HR BLK AVG,2004-09-11,36
0010,81102,24-HR BLK AVG,2004-09-12,23
0010,81102,24-HR BLK AVG,2004-09-13,31
0010,81102,24-HR BLK AVG,2004-09-14,42
0010,81102,24-HR BLK AVG,2004-09-15,34
0010,81102,24-HR BLK AVG,2004-09-16,48
0010,81102,24-HR BLK AVG,2004-09-17,40
0010,81102,24-HR BLK AVG,2004-09-18,48
0010,81102,24-HR BLK AVG,2004-09-19,63
0010,81102,24-HR BLK AVG,2004-09-20,68
0010,81102,24-HR BLK AVG,2004-09-21,45
0010,81102,24-HR BLK AVG,2004-09-22,27
0010,81102,24-HR BLK AVG,2004-09-23,29
0010,81102,24-HR BLK AVG,2004-09-24,29
0010,81102,24-HR BLK AVG,2004-09-25,30
0010,81102,24-HR BLK AVG,2004-09-26,20
0010,81102,24-HR BLK AVG,2004-09-27,32
0010,81102,24-HR BLK AVG,2004-09-28,65
0010,81102,24-HR BLK AVG,2004-09-29,40
0010,81102,24-HR BLK AVG,2004-09-30,48
0010,81102,24-HR BLK AVG,2004-10-01,95
0010,81102,24-HR BLK AVG,2004-10-02,113
0010,81102,24-HR BLK AVG,2004-10-03,84
0010,81102,24-HR BLK AVG,2004-10-04,71
0010,81102,24-HR BLK AVG,2004-10-05,54
0010,81102,24-HR BLK AVG,2004-10-06,51
0010,81102,24-HR BLK AVG,2004-10-07,41
0010,81102,24-HR BLK AVG,2004-10-08,55
0010,81102,24-HR BLK AVG,2004-10-09,76
0010,81102,24-HR BLK AVG,2004-10-10,53
0010,81102,24-HR BLK AVG,2004-10-11,31
0010,81102,24-HR BLK AVG,2004-10-12,22
0010,81102,24-HR BLK AVG,2004-10-13,35
0010,81102,24-HR BLK AVG,2004-10-14,42
0010,81102,24-HR BLK AVG,2004-10-15,38
0010,81102,24-HR BLK AVG,2004-10-16,45
0010,81102,24-HR BLK AVG,2004-10-17,39
0010,81102,24-HR BLK AVG,2004-10-18,22
0010,81102,24-HR BLK AVG,2004-10-19,30
0010,81102,24-HR BLK AVG,2004-10-20,5
0010,81102,24-HR BLK AVG,2004-10-21,4
0010,81102,24-HR BLK AVG,2004-10-22,15
0010,81102,24-HR BLK AVG,2004-10-23,20
0010,81102,24-HR BLK AVG,2004-10-24,19
0010,81102,24-HR BLK AVG,2004-10-25,31
0010,81102,24-HR BLK AVG,2004-10-26,37
0010,81102,24-HR BLK AVG,2004-10-27,4
0010,81102,24-HR BLK AVG,2004-10-28,7
0010,81102,24-HR BLK AVG,2004-10-29,11
0010,81102,24-HR BLK AVG,2004-10-30,14
0010,81102,24-HR BLK AVG,2004-10-31,19
0011,81102,24-HR BLK AVG,2004-05-01,12
0011,81102,24-HR BLK AVG,2004-05-02,10
0011,81102,24-HR BLK AVG,2004-05-03,14
0011,81102,24-HR BLK AVG,2004-05-04,29
0011,81102,24-HR BLK AVG,2004-05-05,29
0011,81102,24-HR BLK AVG,2004-05-06,17
0011,81102,24-HR BLK AVG,2004-05-07,19
0011,81102,24-HR BLK AVG,2004-05-08,18
0011,81102,24-HR BLK AVG,2004-05-09,15
0011,81102,24-HR BLK AVG,2004-05-10,88
0011,81102,24-HR BLK AVG,2004-05-11,28
0011,81102,24-HR BLK AVG,2004-05-12,3
0011,81102,24-HR BLK AVG,2004-05-13,4
0011,81102,24-HR BLK AVG,2004-05-14,14
0011,81102,24-HR BLK AVG,2004-05-15,17
0011,81102,24-HR BLK AVG,2004-05-16,19
0011,81102,24-HR BLK AVG,2004-05-17,31
0011,81102,24-HR BLK AVG,2004-05-18,21
0011,81102,24-HR BLK AVG,2004-05-19,18
0011,81102,24-HR BLK AVG,2004-05-20,18
0011,81102,24-HR BLK AVG,2004-05-21,21
0011,81102,24-HR BLK AVG,2004-05-22,20
0011,81102,24-HR BLK AVG,2004-05-23,25
0011,81102,24-HR BLK AVG,2004-05-24,19
0011,81102,24-HR BLK AVG,2004-05-25,19
0011,81102,24-HR BLK AVG,2004-05-26,8
0011,81102,24-HR BLK AVG,2004-05-27,18
0011,81102,24-HR BLK AVG,2004-05-28,34
0011,81102,24-HR BLK AVG,2004-05-29,19
0011,81102,24-HR BLK AVG,2004-05-30,3
0011,81102,24-HR BLK AVG,2004-05-31,10
0011,81102,24-HR BLK AVG,2004-06-01,16
0011,81102,24-HR BLK AVG,2004-06-02,19
0011,81102,24-HR BLK AVG,2004-06-03,19
0011,81102,24-HR BLK AVG,2004-06-04,14
0011,81102,24-HR BLK AVG,2004-06-05,18
0011,81102,24-HR BLK AVG,2004-06-06,20
0011,81102,24-HR BLK AVG,2004-06-07,49
0011,81102,24-HR BLK AVG,2004-06-08,54
0011,81102,24-HR BLK AVG,2004-06-09,19
0011,81102,24-HR BLK AVG,2004-06-10,8
0011,81102,24-HR BLK AVG,2004-06-11,16
0011,81102,24-HR BLK AVG,2004-06-12,19
0011,81102,24-HR BLK AVG,2004-06-13,24
0011,81102,24-HR BLK AVG,2004-06-14,20
0011,81102,24-HR BLK AVG,2004-06-15,26
0011,81102,24-HR BLK AVG,2004-06-16,17
0011,81102,24-HR BLK AVG,2004-06-17,22
